notice_id_a,notice_id_b,label,choice1_unigram_raw,choice2_bigram_denoised
N005365,N009764,different,0.49800796812749004,0.0
N002248,N003503,different,0.3975609756097561,0.009259259259259259
N010508,N010509,same,0.3887468030690537,0.34146341463414637
N001817,N007306,different,0.3046875,0.0
N003274,N007023,different,0.5305410122164049,0.011627906976744186
N005079,N005080,same,0.5011185682326622,0.5555555555555556
N000591,N011538,different,0.33613445378151263,0.0
N009925,N010387,different,0.3387096774193548,0.0
N001053,N002186,different,0.4969939879759519,0.0
N008562,N009324,different,0.5604203152364273,0.005649717514124294
N000250,N003051,different,0.3217665615141956,0.0
N001525,N001678,different,0.5988909426987061,0.006134969325153374
N008599,N008602,same,0.6464891041162227,0.8125
N003942,N010918,different,0.4381551362683438,0.0
N002513,N007637,different,0.5465517241379311,0.0
N009703,N009705,same,0.6143617021276596,0.8301886792452831
N004315,N009584,different,0.5142276422764228,0.02857142857142857
N010620,N010621,same,0.9596774193548387,0.9702970297029703
N008248,N008249,same,0.4898373983739837,0.3828125
N005222,N005225,same,0.5073260073260073,0.7142857142857143
N002502,N002505,same,0.961038961038961,0.9696969696969697
N006200,N006201,same,0.4522417153996101,0.3404255319148936
N000217,N002582,different,0.4047976011994003,0.0
N001207,N004094,different,0.510752688172043,0.0
N005453,N010471,different,0.48210526315789476,0.0
N001063,N005024,different,0.5152129817444219,0.12301587301587301
N000697,N005493,different,0.2743682310469314,0.014285714285714285
N003555,N009272,different,0.2806026365348399,0.008130081300813009
N005393,N007391,different,0.4510250569476082,0.13008130081300814
N006121,N009928,different,0.5869947275922671,0.005
N004229,N006064,different,0.2867647058823529,0.0
N003265,N010005,different,0.521505376344086,0.0
N007303,N007376,different,0.3321492007104796,0.006993006993006993
N005512,N007327,different,0.558766859344894,0.0
N009065,N011122,different,0.30691056910569103,0.0
N001376,N001377,same,0.48520710059171596,0.46511627906976744
N000357,N000359,same,0.7389380530973452,0.8541666666666666
N008677,N011938,different,0.47438752783964366,0.0
N002197,N002198,same,0.6425,0.38235294117647056
N001905,N005873,different,0.5317460317460317,0.0
N007497,N007499,same,0.7285714285714285,0.875
N007334,N007335,same,0.9610027855153204,0.9325842696629213
N002570,N005618,different,0.32114467408585057,0.006666666666666667
N001074,N002707,different,0.34321372854914195,0.0
N003691,N004544,different,0.2693032015065913,0.0
N003415,N008452,different,0.5137614678899083,0.0
N011716,N011717,same,0.9900249376558603,0.9629629629629629
N001083,N011985,different,0.4765432098765432,0.0
N011499,N011500,same,0.9931350114416476,0.9629629629629629
N004212,N009766,different,0.5576271186440678,0.0
N002974,N006457,different,0.414050822122571,0.004901960784313725
N003854,N003855,same,0.7098901098901099,0.8461538461538461
N005378,N005379,same,0.9614457831325302,0.975
N011829,N011830,same,0.9635922330097088,0.9910714285714286
N005326,N006145,different,0.42016806722689076,0.0
N006145,N006146,same,0.6897374701670644,0.8103448275862069
N002008,N003498,different,0.4891304347826087,0.01775147928994083
N010513,N010514,same,0.9691358024691358,0.8932038834951457
N000443,N006009,different,0.298828125,0.0072992700729927005
N000043,N000050,same,0.9900249376558603,0.9391304347826087
N008967,N008968,same,0.3308270676691729,0.20689655172413793
N002801,N002802,same,0.7012987012987013,0.5384615384615384
N000119,N009303,different,0.2775735294117647,0.0
N002058,N002059,same,0.9716157205240175,0.9625
N001325,N009136,different,0.43209876543209874,0.007246376811594203
N003642,N009092,different,0.4364508393285372,0.0
N004298,N004299,same,0.9893617021276596,0.8888888888888888
N007729,N007732,same,0.9906832298136646,0.9753086419753086
N007652,N008774,different,0.5920177383592018,0.0
N000834,N001578,different,0.32273449920508746,0.0
N002673,N009844,different,0.5649606299212598,0.0
N003008,N009152,different,0.4313304721030043,0.12396694214876033
N001326,N001328,same,0.676056338028169,0.8571428571428571
N009445,N009562,different,0.6590389016018307,0.19148936170212766
N005985,N009162,different,0.34477124183006536,0.0
N004071,N004072,same,0.9654178674351584,0.9452054794520548
N000384,N002019,different,0.32605042016806723,0.005050505050505051
N003494,N003495,same,0.28874734607218683,0.25252525252525254
N005806,N011786,different,0.3411978221415608,0.0
N011420,N011984,different,0.5390199637023594,0.0049261083743842365
N006646,N009384,different,0.32086614173228345,0.0
N002639,N002640,same,0.951530612244898,0.9772727272727273
N006541,N009386,different,0.5182012847965739,0.007194244604316547
N006760,N008055,different,0.5734265734265734,0.03164556962025317
N001785,N004629,different,0.5245283018867924,0.0
N000741,N000745,same,0.9670886075949368,0.6385542168674698
N008186,N009304,different,0.36335403726708076,0.012422360248447204
N001323,N006364,different,0.5052631578947369,0.03636363636363636
N003863,N010008,different,0.33507853403141363,0.0
N000058,N000184,different,0.5419103313840156,0.0
N000412,N004657,different,0.36363636363636365,0.0
N000926,N003644,different,0.5980952380952381,0.0
N004369,N008199,different,0.5288065843621399,0.0
N003450,N006996,different,0.39663865546218485,0.0
N004410,N006730,different,0.32673267326732675,0.006666666666666667
N006041,N011988,different,0.32129277566539927,0.05228758169934641
N004913,N010317,different,0.5295275590551181,0.0
N007995,N007997,same,0.6623711340206185,0.8169014084507042
N001334,N006274,different,0.3316239316239316,0.0
N004939,N011284,different,0.28399311531841653,0.0
N005634,N006584,different,0.39451476793248946,0.0
N003301,N003302,same,0.6995515695067265,0.8795180722891566
N002267,N010375,different,0.4308093994778068,0.0
N003158,N007300,different,0.46337308347529815,0.01702127659574468
N002085,N007988,different,0.45652173913043476,0.0
N001118,N001120,same,0.9710843373493976,0.6544502617801047
N000030,N006079,different,0.476303317535545,0.0072992700729927005
N005137,N009628,different,0.4436781609195402,0.0
N004055,N008225,different,0.29038112522686027,0.005208333333333333
N001879,N004065,different,0.3791469194312796,0.0
N000486,N011101,different,0.4819004524886878,0.0
N007430,N010330,different,0.595903165735568,0.0
N006041,N009700,different,0.5513126491646778,0.009345794392523364
N000297,N003849,different,0.3606010016694491,0.0
N003611,N007188,different,0.44269662921348313,0.0
N009978,N009979,same,0.598343685300207,0.8615384615384616
N001022,N001023,same,0.7130801687763713,0.9223300970873787
N001629,N005005,different,0.4418604651162791,0.0
N002923,N007247,different,0.33440514469453375,0.0
N003164,N009587,different,0.36416184971098264,0.0
N006832,N010598,different,0.3931240657698057,0.0
N006511,N006512,same,0.7163265306122449,0.9357798165137615
N002304,N009060,different,0.30177514792899407,0.0
N002106,N006701,different,0.48333333333333334,0.0
N006856,N006857,same,0.6829268292682927,0.8026315789473685
N003821,N009085,different,0.5812356979405034,0.1917808219178082
N004522,N009816,different,0.6216867469879518,0.2097902097902098
N008514,N008515,same,0.5327313769751693,0.4959349593495935
N008382,N009718,different,0.3130252100840336,0.0
N005805,N011332,different,0.5338983050847458,0.007633587786259542
N004216,N004699,different,0.4696261682242991,0.0
N001432,N008873,different,0.5475352112676056,0.0
N002149,N003382,different,0.22851153039832284,0.0
N004731,N009345,different,0.5056179775280899,0.0
N002163,N002307,different,0.5081374321880651,0.0
N002952,N008752,different,0.43817787418655096,0.028985507246376812
N000745,N005843,different,0.41561181434599154,0.005952380952380952
N005260,N011019,different,0.26666666666666666,0.0
N002299,N009882,different,0.30666666666666664,0.0
N002171,N005867,different,0.3811188811188811,0.0
N005334,N007457,different,0.4164989939637827,0.13247863247863248
N005304,N005305,same,0.949748743718593,0.6211180124223602
N005134,N005135,same,0.7184466019417476,0.55625
N000982,N005390,different,0.45374449339207046,0.0
N002992,N009046,different,0.5647279549718575,0.013157894736842105
N000628,N000633,same,0.4176334106728538,0.3695652173913043
N000573,N006170,different,0.3326959847036329,0.062111801242236024
N010406,N010408,same,0.9586466165413534,0.8367346938775511
N002446,N002447,same,0.6944444444444444,0.8313253012048193
N000735,N001335,different,0.5584158415841585,0.0
N008238,N011480,different,0.4903100775193798,0.0
N000321,N000443,different,0.2745490981963928,0.0
N007541,N007546,same,0.3870967741935484,0.3387096774193548
N002683,N007848,different,0.3327239488117002,0.0
N009983,N009985,same,0.3766990291262136,0.18947368421052632
N007568,N007570,same,0.583732057416268,0.3782051282051282
N005448,N005962,different,0.44902912621359226,0.0
N004767,N004768,same,0.9475524475524476,0.9473684210526315
N007023,N007916,different,0.5761821366024519,0.015544041450777202
N000315,N000316,same,0.6404761904761904,0.8311688311688312
N001578,N002947,different,0.37462235649546827,0.0
N009857,N010711,different,0.4656652360515021,0.0
N002290,N003634,different,0.5958188153310104,0.0
N011438,N011440,same,0.7089201877934272,0.8117647058823529
N010035,N011646,different,0.5163043478260869,0.0
N001295,N001296,same,0.7156626506024096,0.8472222222222222
N005825,N010265,different,0.4575569358178054,0.0
N002351,N005508,different,0.5928449744463373,0.005405405405405406
N011075,N011077,same,0.9661016949152542,0.9603174603174603
N011335,N011336,same,0.5454545454545454,0.8148148148148148
N000514,N011152,different,0.6030405405405406,0.0
N010762,N010766,same,0.9602977667493796,0.9340659340659341
N001314,N003288,different,0.5937007874015748,0.0
N001403,N001405,same,0.34122287968441817,0.15789473684210525
N010389,N010391,same,0.9376623376623376,0.5422535211267606
N001258,N001261,same,0.9826732673267327,0.5987261146496815
N003574,N011053,different,0.5344827586206896,0.0
N001484,N005371,different,0.5091911764705882,0.0
N005426,N005427,same,0.9523809523809523,0.9454545454545454
N008443,N010211,different,0.36199095022624433,0.0
N005517,N011613,different,0.28952772073921973,0.0
N005828,N010514,different,0.30098684210526316,0.0
N011154,N011156,same,0.7258382642998028,0.9159663865546218
N002595,N003310,different,0.4137055837563452,0.0
N008630,N011336,different,0.6306306306306306,0.0
N004951,N008794,different,0.47686832740213525,0.005747126436781609
N000391,N004186,different,0.49019607843137253,0.0
N000166,N008677,different,0.43283582089552236,0.0
N009154,N011317,different,0.5021645021645021,0.01775147928994083
N002589,N009612,different,0.4916317991631799,0.0
N008268,N009916,different,0.5274102079395085,0.0
N002316,N002317,same,0.6370757180156658,0.82
N006596,N011033,different,0.3345070422535211,0.008264462809917356
N010106,N010107,same,0.5555555555555556,0.5192307692307693
N008409,N008410,same,0.9737991266375546,0.95
N001937,N007430,different,0.5288065843621399,0.00641025641025641
N000078,N006886,different,0.5104166666666666,0.0
N010999,N011001,same,0.4177777777777778,0.22666666666666666
N001357,N010788,different,0.4777327935222672,0.0
N000906,N011149,different,0.5408560311284046,0.0
N003435,N009318,different,0.48303393213572854,0.010309278350515464
N002916,N004445,different,0.518918918918919,0.037037037037037035
N003770,N011367,different,0.45526315789473687,0.0
N010980,N010981,same,0.7555110220440882,0.8771929824561403
N005040,N005041,same,0.9183006535947712,0.9436619718309859
N008937,N008938,same,0.30337078651685395,0.2988505747126437
N002071,N006588,different,0.2890625,0.0
N010261,N011914,different,0.5225694444444444,0.004694835680751174
N000670,N000671,same,0.9715762273901809,0.5547945205479452
N000489,N007029,different,0.5159574468085106,0.017857142857142856
N007633,N010942,different,0.42061855670103093,0.0
N005243,N006569,different,0.3268101761252446,0.053691275167785234
N001083,N001567,different,0.4099099099099099,0.0
N000282,N006591,different,0.46120689655172414,0.0
N003362,N003364,same,0.9940652818991098,0.9753086419753086
N005927,N008816,different,0.551948051948052,0.0
N001289,N001291,same,0.38104089219330856,0.3076923076923077
N005231,N005232,same,0.9631901840490797,0.8831168831168831
N003835,N003837,same,0.7747035573122529,0.8780487804878049
N004167,N005115,different,0.6020618556701031,0.0
N002040,N003281,different,0.507399577167019,0.00411522633744856
N002605,N010853,different,0.5879518072289157,0.07142857142857142
N011139,N011793,different,0.349768875192604,0.0
N001458,N002506,different,0.3931818181818182,0.0
N007148,N011853,different,0.579476861167002,0.0
N001791,N008583,different,0.5151515151515151,0.0
N008993,N008995,same,0.9647058823529412,0.5488721804511278
N004043,N004218,different,0.46613545816733065,0.0
N011601,N011603,same,0.9671232876712329,0.56
N002945,N010292,different,0.4067796610169492,0.0
N006385,N011130,different,0.4735772357723577,0.0
N006764,N009477,different,0.504424778761062,0.0
N004409,N011892,different,0.40476190476190477,0.005319148936170213
N000023,N002700,different,0.4606741573033708,0.0058823529411764705
N001669,N003264,different,0.4135667396061269,0.006369426751592357
N002831,N008460,different,0.33640552995391704,0.0
N004184,N005163,different,0.35148514851485146,0.013157894736842105
N009665,N011482,different,0.28640776699029125,0.0
N000340,N009553,different,0.3005464480874317,0.0
N002043,N008828,different,0.4140786749482402,0.0
N003466,N003469,same,0.6943231441048034,0.8617021276595744
N005064,N005067,same,0.7615230460921844,0.8715596330275229
N000030,N007467,different,0.4394250513347023,0.0
N011900,N011901,same,0.6627118644067796,0.8968253968253969
N006901,N008943,different,0.4816414686825054,0.0
N003415,N005750,different,0.31784386617100374,0.0
N005350,N005352,same,0.45194274028629855,0.453125
N007614,N008823,different,0.3486238532110092,0.006211180124223602
N004333,N008255,different,0.43159922928709055,0.0
N009495,N009521,different,0.3264984227129338,0.0
N006462,N006463,same,0.9661458333333334,0.97
N001629,N008262,different,0.535181236673774,0.0
N002516,N010795,different,0.521484375,0.0
